country,prisonPopulation,prisonersRate,jailOccupancy
United States,2193798,737,107.6
Russia,874161,615,79.5
Ukraine,162602,350,101.3
South Africa,158501,334,138.6
Poland,89546,235,124.4
Mexico,214450,196,133.9
Brazil,371482,193,150.9
United Kingdom,80002,148,112.7
Spain,63991,144,129.5
Kenya,47036,130,284.3
Netherlands,21013,128,95.6
Australia,25790,125,105.9
Portugal,12765,120,103.7
China,1548498,118,0
Austria,8766,105,107.2
Italy,61721,104,131.5
Germany,77166,94,96.5
Belgium,9597,91,110.6
Turkey,65458,91,77.4
France,52009,85,109.9
Switzerland,6111,83,93.4
Sweden,7450,82,102.7
Finland,3954,75,112.4
Norway,3048,66,92.1
Japan,79052,62,105.9
Nigeria,40444,30,101.5
India,332112,30,139
